name,box_office,genres,average,ratings_count,collect_count,wish_count,reviews_count
钢铁骑士,191,"[""动作"",""科幻"",""冒险""]",3.8,263,280,480,8
舞出我人生2,183,"[""剧情"",""音乐"",""爱情""]",7.3,34510,45923,3466,112
21岁派对,175,"[""喜剧""]",5.9,6820,8218,3194,20
回到白垩纪,160,"[""冒险""]",5.4,89,112,23,4
拯救第365天,138,"[""动画"",""奇幻"",""冒险""]",3.2,140,159,113,11
快乐的大脚,133,"[""动画"",""冒险"",""喜剧""]",7.3,51163,69740,6553,158
致命对决,130,"[""剧情"",""悬疑"",""惊悚""]",8.8,298443,370679,65211,1137
开火,118,"[""剧情"",""战争""]",0,27,48,193,0
奇幻精灵历险记,117,"[""冒险"",""家庭"",""奇幻""]",7.2,28032,35915,8908,113
龙骑士,1,"[""动作"",""冒险"",""家庭""]",5.7,16898,22309,1307,71
圣战士,1,"[""动画"",""冒险"",""奇幻""]",8.8,142,180,129,0
亚瑟王,1,"[""动作"",""冒险"",""历史""]",6.8,21143,28460,4388,77
红美丽,1,"[""剧情"",""家庭""]",8.4,160366,214399,53919,980
蝙蝠侠：侠影之谜,1,"[""剧情"",""动作"",""科幻""]",8.2,117563,145923,11251,218
霍元甲,1,"[""剧情"",""传记"",""动作""]",6.6,81569,114240,3136,181
面纱,1,"[""剧情"",""爱情""]",8.2,83809,109664,40182,845
美人依旧,1,"[""剧情""]",6.1,6294,9033,2121,40
大白鲨之致命武器,1,"[""动作"",""恐怖"",""科幻""]",4.2,228,288,46,4
双镖,0,"[""动作""]",3.9,501,632,209,4
暴力街区,18728,"[""剧情"",""动作"",""犯罪""]",6.9,50412,59822,7397,150
最后的巫师猎人,17983,"[""动作"",""奇幻"",""冒险""]",5.8,31370,35499,2789,199
里约大冒险,13981,"[""喜剧"",""动画"",""冒险""]",5.3,594,641,218,351
全面回忆,11624,"[""动作"",""科幻"",""惊悚""]",7,83013,98955,16258,518
像素大战,10096,"[""喜剧"",""动作"",""科幻""]",6.1,50129,57358,6658,139
庞贝末日,9759,"[""动作"",""爱情"",""冒险""]",6,21808,25414,3299,148
逆世界,7381,"[""剧情"",""爱情"",""科幻""]",6.1,56865,68279,11904,321
